ID,Campaign ID,Row_Counter,Name,Target,Status,Developer/Reseacher,Format,Derivation,Discovery platform,Country,Anticipated Next Steps Timing,Descriptions,References,last updated,Name of person who updated the record
14,10,1,B38,S protein,Preclinical,"Institute of Microbiology, Chinese Academy of Sciences/Shenzhen Third People’s Hospital/",mAb,Human,single B cell cloning,China,,"B38 and H4 block the binding between RBD and vial cellular receptor ACE2. Further competition assay indicates that B38 and H4 recognize different epitopes on the RBD, which is ideal for a virus-targeting mAb-pair to avoid immune escape in the future clinical applications. Moreover, therapeutic study on the mouse model validated that these two antibodies can reduce virus titers in the infected mouse lungs. Structure of RBD-B38 complex revealed that most residues on the epitope are overlapped with the RBD-ACE2 binding interface, which explained the blocking efficacy and neutralizing capacity.",1. https://www.medrxiv.org/content/10.1101/2020.05.01.20077743,05/17/2020,B.L
15,10,1,H4,S protein,Preclinical,"Institute of Microbiology, Chinese Academy of Sciences/Shenzhen Third People’s Hospital/",mAb,Human,single B cell cloning,China,,"B38 and H4 block the binding between RBD and vial cellular receptor ACE2. Further competition assay indicates that B38 and H4 recognize different epitopes on the RBD, which is ideal for a virus-targeting mAb-pair to avoid immune escape in the future clinical applications. Moreover, therapeutic study on the mouse model validated that these two antibodies can reduce virus titers in the infected mouse lungs. Structure of RBD-B38 complex revealed that most residues on the epitope are overlapped with the RBD-ACE2 binding interface, which explained the blocking efficacy and neutralizing capacity.",1. https://www.medrxiv.org/content/10.1101/2020.05.01.20077743,05/17/2020,B.L
16,11,1,,S protein,Preclinical,Peking university/Sino Biological,mAb,Human,single B cell cloning,China,,,1. https://biopic.pku.edu.cn/zxdt/502171.htm 2. http://newsen.pku.edu.cn/news_events/news/research/9779.htm,05/18/2020,B.L
17,12,1,,S protein,Preclinical,Jemincare,mAb,,,China,,,,05/17/2020,B.L
18,13,1,STI-1499,S protein,Preclinical,Sorrento/Mount Sinai Health System,mAb,,,USA,,"STI-1499 completely neutralized the virus infectivity at a very low antibody dose, making it a prime candidate for further testing and development. Sorrento Therapeutics and Mount Sinai Health System in New York City have joined forces to develop an antibody cocktail they hope will shield against Covid-19 infection for up to two months.",1. https://investors.sorrentotherapeutics.com/news-releases/news-release-details/sti-1499-potent-anti-sars-cov-2-antibody-demonstrates-ability; 2. https://www.cnbc.com/2020/05/08/sorrento-therapeutics-mount-sinai-develop-covid-19-antibody-shield.html,05/17/2020,B.L
19,14,1,4A8,S protein,Preclinical,"Academy of Military Medical Sciences/Westlake University/Tsinghua-Peking Joint Center for
 Life Sciences",mAb,Human,single B cell cloning,China,,"An mAb targeting the N-terminal domain (NTD) of the SARS-CoV-2 S protein, named 4A8, exhibits high neutralization potency against both authentic and pseudotyped SARS-CoV-2, although it does not block the interaction between angiotensin-converting enzyme 2 (ACE2) receptor and S protein. The cryo-EM structure of the SARS-CoV-2 S protein in complex with 4A8 has been determined to an overall resolution of 3.1 Angstrom and local resolution of 3.4 Angstrom for the 4A8-NTD interface, revealing detailed interactions between the NTD and 4A8.",1.https://www.biorxiv.org/content/10.1101/2020.05.08.083964v1,05/17/2020,X.X
20,15,1,47D11,S protein,Preclinical,Utrecht University/ Erasmus MC/ Harbor BioMed/Mount Sinai Health System,mAb,Humanized mouse,Humanized mouse,Netherlands/China/USA,,"47D11 was discovered from the H2L2 Harbour Mice® platform. 47D11 binds a conserved epitope on the spike receptor binding domain and cross-neutralizes SARS-CoV and SARS-CoV-2.Data show that 47D11 neutralizes SARS-CoV and SARS-CoV-2 through a yet unknown mechanism that is different from receptor binding interference. Alternative mechanisms of coronavirus neutralization by receptor binding domain-targeting antibodies have been reported including spike inactivation through antibody-induced destabilization of its prefusion structure, which may also apply for 47D11. Harbour BioMed has partnered with academic medical system Mount Sinai Health to develop biotherapies for Covid-19 and cancer. The partners entered into a multi-year, multifaceted agreement, which will focus on fully human antibodies.",1. https://www.nature.com/articles/s41467-020-16256-y; 2. https://www.immunology.ox.ac.uk/covid-19/literature-digest-old/a-human-monoclonal-antibody-blocking-sars-cov-2-infection; 3. https://www.pharmaceutical-technology.com/news/harbour-biomed-sinai-covid-19-drugs/,05/17/2020,X.X
21,16,1,VHH-72,S protein,Preclinical,The University of Texas at Austin/Ghent University,VHH,llama,llama immunization,USA/Belgium,,"Targets RBD domain; epitope does not directly overlap with ACE2 binding site; cross-neutralize SARS-CoV; does not neutralize SARS-CoV-2 by monovalent VHH; March 16, 2020 press release.",https://www.sciencedirect.com/science/article/pii/S0092867420304943,05/17/2020,X.X
22,17,1,,S protein,Preclinical,Fudan University,VHH,,Phage display,China,,Epitope binning showed the antibodies bind 5 antigenic sites on RBD (group A-E); the most potent antibodies n3130 and n3088 are within group D,ttps://www.biorxiv.org/content/10.1101/2020.03.30.015990v1,05/17/2020,X.X
23,18,1,311mab-31B5,S protein,Preclinical,Third Military Medical University/Chongqing Public Health Medical Center/Chinese Academy of Medical Sciences and Peking Union Medical College,mAb,Human,single B cell cloning,China,,"311mab-31B5 and 311mab-32D4 effectively neutralized pseudovirus entry to host cells ectopically expressing hACE2 (IC50 = 0.0338, and 0.0698 μg/ml, respectively)",https://www.nature.com/articles/s41423-020-0426-7,05/17/2020,X.X
24,18,1,311mab-32D4,S protein,Preclinical,Third Military Medical University/Chongqing Public Health Medical Center/Chinese Academy of Medical Sciences and Peking Union Medical College,mAb,Human,single B cell cloning,China,,"311mab-31B5 and 311mab-32D4 effectively neutralized pseudovirus entry to host cells ectopically expressing hACE2 (IC50 = 0.0338, and 0.0698 μg/ml, respectively)",https://www.nature.com/articles/s41423-020-0426-7,05/17/2020,X.X
25,19,1,1E2,S protein,Preclinical,Chinese Academy of Medical Sciences and Peking Union Medical College,mAb,Human,Phage display,China,,"All five antibodies showed neutralization efficiency IC50 at approximately 0.2-0.6 µg/mL; 1E2, 3F11 and 4D8 completely prevent binding of SARS-CoV-2 RBD to ACE2, sdAbs 2F2 and 5F8 could partially compete the RBD/receptor; several Fc-fused sdAbs demonstrated potency with IC80 at sub-nanomolar level",https://www.biorxiv.org/content/10.1101/2020.04.14.042010v1,05/17/2020,X.X
26,19,1,2F2,S protein,Preclinical,Chinese Academy of Medical Sciences and Peking Union Medical College,mAb,Human,Phage display,China,,"All five antibodies showed neutralization efficiency IC50 at approximately 0.2-0.6 µg/mL; 1E2, 3F11 and 4D8 completely prevent binding of SARS-CoV-2 RBD to ACE2, sdAbs 2F2 and 5F8 could partially compete the RBD/receptor; several Fc-fused sdAbs demonstrated potency with IC80 at sub-nanomolar level",https://www.biorxiv.org/content/10.1101/2020.04.14.042010v1,05/17/2020,X.X
27,19,1,3F11,S protein,Preclinical,Chinese Academy of Medical Sciences and Peking Union Medical College,mAb,Human,Phage display,China,,"All five antibodies showed neutralization efficiency IC50 at approximately 0.2-0.6 µg/mL; 1E2, 3F11 and 4D8 completely prevent binding of SARS-CoV-2 RBD to ACE2, sdAbs 2F2 and 5F8 could partially compete the RBD/receptor; several Fc-fused sdAbs demonstrated potency with IC80 at sub-nanomolar level",https://www.biorxiv.org/content/10.1101/2020.04.14.042010v1,05/17/2020,X.X
28,19,1,4D8,S protein,Preclinical,Chinese Academy of Medical Sciences and Peking Union Medical College,mAb,Human,Phage display,China,,"All five antibodies showed neutralization efficiency IC50 at approximately 0.2-0.6 µg/mL; 1E2, 3F11 and 4D8 completely prevent binding of SARS-CoV-2 RBD to ACE2, sdAbs 2F2 and 5F8 could partially compete the RBD/receptor; several Fc-fused sdAbs demonstrated potency with IC80 at sub-nanomolar level",https://www.biorxiv.org/content/10.1101/2020.04.14.042010v1,05/17/2020,X.X
29,19,1,5F8,S protein,Preclinical,Chinese Academy of Medical Sciences and Peking Union Medical College,mAb,Human,Phage display,China,,"All five antibodies showed neutralization efficiency IC50 at approximately 0.2-0.6 µg/mL; 1E2, 3F11 and 4D8 completely prevent binding of SARS-CoV-2 RBD to ACE2, sdAbs 2F2 and 5F8 could partially compete the RBD/receptor; several Fc-fused sdAbs demonstrated potency with IC80 at sub-nanomolar level",https://www.biorxiv.org/content/10.1101/2020.04.14.042010v1,05/17/2020,X.X
30,20,1,Anti-SARS mAb,S protein,Preclinical,Massachusetts Consortium on Pathogen Readiness (MassCPR),mAb,,,USA,,"Working group on therapeutics includes Jonathan Abraham, M.D., Ph.D., Mark Namchuk, Ph.D., and Wayne Marasco, MD PhD","1,https://masscpr.hms.harvard.edu/",5/18/2020,L.Y
31,21,1,Anti-SARS-CoV-2 Ab,S protein,Preclinical,"AstraZeneca, with partners Chinese Academy of Sciences, Vanderbilt University Medical Center, United States Army Medical Research Institute of Infectious Diseases (USAMRIID) and the University of Maryland School of Medicine",,,,USA/China,Summer 2020,"AstraZeneca scientists are exploring three potential sources for antibodies against the SARS CoV-2 virus – patients who have recovered from COVID-19, immunised humanised mice and laboratory techniques such as phage display; April 8, 2020: Under a recently signed agreement, genetic sequences for antibodies discovered in the Vanderbilt Vaccine Center (VVC) will be provided to AstraZeneca for identification of the most promising candidates for clinical assessment and future clinical use. The agreement with AstraZeneca allows VVC to continue working with other partners to develop antibodies for diagnostic and therapeutic applications.
  The spike protein on the SARS-CoV-2 virus is the primary target being explored for potential COVID-19 monoclonal antibodies. The aim is that by targeting the spike protein, the antibody will be able to neutralise the SARS-CoV-2 virus and affect its capacity to infect healthy cells. 
  AstraZeneca is harnessing its proprietary immune replica technology, developed as part of the abovementioned agreement with DARPA, which can capture and screen antibodies from millions of primary B cells. The company is also utilising hybridoma technology, which is a method for producing large numbers of monoclonal antibodies through a culture of hybrid cells that results from the fusion of B cells and immortal myeloma cells.
  Once identified, the monoclonal antibodies are screened against their ability to bind to the spike protein before further developability tests are carried out. AstraZeneca is aiming for clinical evaluation in the next 3 to 5 months. In addition to internal research and development, AstraZeneca is collaborating with government and academic experts to evaluate additional promising candidates for future clinical use. The Chinese Academy of Sciences (China) and Vanderbilt University Medical Center (US) are providing AstraZeneca with genetic sequences for antibodies they have discovered against SARS2-CoV-2 for further in silico and in vitro assessment.
  Via collaborations with the United States Army Medical Research Institute of Infectious Diseases (USAMRIID) and the University of Maryland School of Medicine, promising antibodies from AstraZeneca, discovered through its internal research efforts and collaborations, will undergo preclinical safety and efficacy assessment in the organisations’ biosafety level 3 (BSL3) laboratories.",,5/18/2020,L.Y
32,22,1,Anti-SARS-CoV-2,S protein,Preclinical,"Vanderbilt University Medical Center/academic, governmental and corporate partners",,,,USA,Summer 2020,"March 23, 2020. “Our goal is to prepare antibodies for human clinical trials by this summer,” said James Crowe, MD, director of the Vanderbilt Vaccine Center (VVC). “We have ultra-rapid antibody discovery technologies and already have discovered SARS-CoV-2 antibodies,” Crowe said. “Our partners have the manufacturing and product development expertise to turn these antibodies into effective biological drugs very quickly.”","1, https://clarksvillenow.com/local/vanderbilt-researchers-developing-potential-coronavirus-antibodies-therapy/; 2, https://www.biorxiv.org/content/10.1101/2020.05.12.091462v1",5/18/2020,L.Y
33,23,1,Anti-SARS-CoV-2 Ab,S protein,Preclinical,"Coronavirus Immunotherapy Consortium; multiple partners, including Carterra",,,,USA,Summer 2020,"La Jolla Institute for Immunology (LJI) has been awarded a $1.73 million grant by the Bill & Melinda Gates Foundation to establish a Coronavirus Immunotherapy Consortium (CoVIC) as part of the foundation’s global efforts to stem the tide of the current coronavirus outbreak, the Institute announced yesterday. Antibody therapies are often the first novel therapies advanced for an emerging infectious disease. The effort is led by Erica Ollmann Saphire, Ph.D., a professor in LJI’s Center for Infectious Disease and Vaccine Research, who draws on her broad research experience guiding the development of antibody drugs and galvanizing a global research coalition that helped define which therapeutic antibodies effectively combat disease in humans infected with Ebola virus.
  Carterra published a video highlighting its being selected by Gates Foundation to fight COVID-19. https://carterra-bio.com/news/video-carterra-has-been-selected-by-the-gates-foundation-to-help-solve-the-covid-19-pandemic/
  April 20, 2020: The Saphire lab was awarded funds from Fast Grants for the purchase of CO2 shaker incubators that will allow culture of large quantities of cells for production of Spike and other SARS-CoV-2 proteins for the CoVIC.",https://www.prweb.com/releases/carterra_inc_selected_by_the_la_jolla_institute_of_immunology_to_provide_antibody_screening_and_characterization_for_the_coronavirus_immunotherapy_consortium_covic/prweb17016841.htm,5/18/2020,L.Y
34,24,1,Anti-SARS-CoV-2 Ab,S protein,Preclinical,"Chelsea and Westminster Hospital, Imperial College London",,,,UK,,"Researchers will develop antibodies that target the novel coronavirus with the aim of developing a new therapy for COVID-19. Antibodies are molecules produced by the body’s immune system that can specifically recognise and bind to structures, such as those on the surface of a virus, to block the virus entry and instruct the immune system to destroy it. They have already identified some antibodies that might bind to proteins from the COVID-19 coronavirus. In collaboration with China, the scientists will use these in this project to develop a potential antibody therapy, with the aim of getting the therapy to the stage where it is ready to enter clinical trials to determine if it can treat a range of coronavirus infections including the COVID-19 coronavirus. 
  March 23, 2020: Professor Xiaoning Xu, from the ICL's Department of Infectious Disease, will lead on a project to develop a therapy to treat COVID-19. Working with the University of Kent, Hong Kong University and the National Institute for Biological Standards and Control, the researchers will develop antibodies that target the virus with the aim of developing a new therapy for COVID-19. The team has already identified a panel of antibodies from people infected with the 2003 SARS coronavirus. These antibodies bind to highly pathogenic coronaviruses, including the COVID-19 coronavirus (SARS CoV-2). Funding is from UK Medical Research Council.",https://www.ukri.org/news/covid-19-vaccine-therapy-research-boosted-by-six-new-projects-in-rapid-response/,5/18/2020,L.Y
35,25,1,Anti-SARS-CoV-2 Ab,S protein,Preclinical,Columbia University/Brii Biosciences,,,,USA,,"March 11, 2020 – Brii Biosciences (“Brii Bio”) and Columbia University have entered into a memorandum of understanding through which Brii Bio will provide funding to support research to be conducted by investigators at the university and led by David Ho, M.D., founding scientific director of the Aaron Diamond AIDS Research Center and professor of medicine at the Vagelos College of Physicians and Surgeons. Brii Bio’s funding to Columbia comes in the form of an unrestricted grant to facilitate creating a framework for the formation of strategic collaborations in areas of complementary expertise and resources.
  The funding is expected to support work that focuses on finding solutions to the treatment, prevention and diagnosis of COVID-19 and other coronaviruses. Dr. Ho will serve as Principal Investigator. At the same time, Columbia and Brii Bio intend to work together to create a joint collaboration model to enable both parties to utilize their respective R&D, expertise and other in-kind contributions to advance the effort. 
  “As an international university with a global network of research collaborators, clinicians and patient-care capabilities, Columbia feels a special obligation to focus on public health threats such as coronaviruses, and our research teams are working now to identify potential antiviral drugs and antibodies against COVID-19,” said Dr. Ho. “Through this generous funding from Brii Bio, we look forward to building on our current research to create a truly holistic approach to diagnosis, treatment and prevention.”",https://www.briibio.com/news/44.html,5/18/2020,L.Y
36,26,1,Anti-SARS-CoV-2 Ab,S protein,Preclinical,"IMMUNOPRECISE ANTIBODIES LTD/Talem Therapeutics, EVQLV",polyconal Ab,,Animal immunization; phage display,Canada,,"IPA’s multitargeting approach combines various SARS-CoV-2 spike protein forms with the Company’s diverse technologies. Hence, IPA anticipates that it can accelerate anti-SARS-CoV-2 human antibody discovery, targeting multiple viral epitopes and mechanisms of viral evasion, by immunizing Ligand’s (NASDAQ:LGND) OmniRat® animals using the Company’s Rapid Prime™ protocol followed by IPA’s B cell Select™ and hybridoma generation in parallel with human, naive phage library screening. Subsequent high-throughput binding assays, computational Artemis™ optimization, and protein interaction analyses permit faster preclinical lead selection.
  March 30, 2020: ImmunoPrecise announced that its partner EVQLV submitted its first panel of DNA sequences that may offer potential therapeutic antibodies against the new coronavirus, SARS CoV-2 or COVID-19. The DNA sequences were generated by EVQLV using computational antibody design, combining mathematics, statistics and computer science to pinpoint high-affinity antibodies. ImmunoPrecise said it will review the antibody candidates and select around 1,200 candidates to validate at its laboratory facilities. The firm will then screen and test the antibodies. 
  March 12, 2020: IMMUNOPRECISE ANTIBODIES LTD., following its announcement to develop innovative treatments against the new coronavirus, SARS-CoV-2, unveils its unique approach utilizing PolyTope mAb Therapy™, enabled by IPA’s diverse discovery platforms and artificial intelligence capabilities with their partner, EVQLV, Inc., in the development of a universal COVID-19 therapy.",https://www.immunoprecise.com/immunoprecise-announces-the-launch-of-polytope-mab-therapy-tm-to-tackle-coronavirus-pandemic/,5/18/2020,L.Y
37,27,1,Anti-SARS-CoV-2 Ab,S protein,Preclinical,"Israel Institute for Biological Research/Dyadic International, Inc.",,,,Isrea/USA,,"The Israel Institute for Biological Research has expanded its collaboration with Dyadic International, Inc. to explore the potential of C1 to express gene sequences and targets developed by IIBR into both an rVaccine candidate and monoclonal antibodies (""mAbs"") that may potentially help combat the COVID-19 outbreak. ""The Israel Institute for Biologcal Research was assigned by the Israeli Prime minister, Mr. Benjamin Netanyahu, to act as quickly as possible to produce a vaccine and neutralizing antibodies for the Novel Coronavirus COVID-19,"" said Prof. Shmuel C. Shapira, Director General of IIBR. Prof Shapira continued, ""More than 50 experienced Ph.D. IIBR's scientists are working tirelessly to produce a vaccine and neutralizing antibodies for the Novel Coronavirus COVID-19. This is a world-leading group in aspect of knowledge, experience and infrastructure. The Israel Institute for biological research was assigned to the task based on its proven professional scientific capabilities and previous successes in the field.""",https://irdirect.net/prviewer/release/id/4241329; https://irdirect.net/prviewer/release/id/4275577,5/18/2020,L.Y
38,28,1,Anti-SARS-CoV-2 mAb,S protein,Preclinical,YUMAB/Boehringer Ingelheim,mAb,,phage display,Germany,Summer/Fall 2020,Timeframe of Summer/Fall 2020 initiation of clinical study is from private communication (S. Duebel),https://www.yumab.com/partnership-with-boehringer-ingelheim/,5/18/2020,L.Y
39,29,1,Anti-SARS-CoV-2 mAb,S protein,Preclinical,Neurimmune AG / Ethris GmbH,mAb/mRNA,,,Switzerland,Q4 2020,"Neurimmune is identifying human anti-SARS-CoV-2 antibodies from the immune cells of recovered Covid-19 patients using its RTMTM Technology platform. Potent neutralizing antibodies will be translated into therapeutic SNIM®RNA products for inhalation. Based on current development plans, the first product candidate is expected to begin clinical testing in the fourth quarter of 2020, pending regulatory approval.",https://www.neurimmune.com/news/neurimmune-and-ethris-sign-collaboration-agreement-to-rapidly-develop-inhaled-mrna-based-antibody-therapy-for-the-treatment-of-covid-19,5/18/2020,L.Y
40,30,1,Anti-SARS-CoV-2 mAb,S protein,Preclinical,Celltrion,mAb,,,South Korea,7/1/2020,"Celltrion initiates the second stage; selecting the therapeutic antibodies which are most potent for neutralising the infection, after completing the first phase of screening 300 potential antibody candidates to treat COVID-19. 
  APRIL 13 2020, Celltrion announced that the company has successfully selected the most potent antibody candidates to neutralize SARS-CoV-2, the virus causing COVID-19. 
  Through a partnership with the Korea Centers for Disease Control and Prevention (KCDC), Celltrion initially identified and secured 300 different types of antibodies that bind to the SARS-CoV-2 antigen. These were then screened based on their ability to bind to the virus spike protein. Celltrion was then able to capture a total of 38 potent neutralizing antibodies, of which, 14 are powerful neutralizing antibodies against SARS-CoV-2. 
  Following the selection of antibody candidates which demonstrate high potency in neutralizing SARS-CoV-2, Celltrion will begin cell-line development. Once this is completed, Celltrion aims to roll out mass production of the therapeutic antibody and, together with the KCDC, Celltrion will conduct efficacy and toxicity testing in mice and non-human primates.",https://www.businesswire.com/news/home/20200322005024/en/Celltrion-Accelerates-Development-COVID-19-Antiviral-Treatment-Aims,5/18/2020,L.Y
42,32,1,Anti-SARS-CoV-2 mAb,S protein,Preclinical,FairJourney Biologics / Iontas,mAb,,phage display,Portugal,,"FairJourney Biologics (Porto, Portugal) and Iontas (Cambridge, UK) announced a partnership to expedite the identification of effective antibodies for a therapeutic to treat COVID-19 patients. The combination of FairJourney’s premier global technical expertise and extensive immune antibody libraries with Iontas’ next generation Mammalian Display technology will also see leading scientists from both companies join forces in the race to identify antibodies to be used in the development of safe and effective treatments.",https://www.iontas.co.uk/news-and-events/news/2020/apr/16/iontas-and-fairjourney-biologics-partner-covid-19-/,5/18/2020,L.Y
43,33,1,Anti-SARS-CoV-2 mAb,S protein,Preclinical,Beroni Group / Tianjin University,mAb,,nanobody,China,,"Beroni Group an international diversified biopharmaceutical enterprise focused on the research, development, innovation and commercialization of therapies and products for treatment of global diseases, is pleased to announce that it is collaborating with Tianjin University in China to develop a medical solution for the coronavirus (COVID-19) epidemic. 
  March 9, 2020: Beroni Group announced its development of a medical solution using nanobody technology for the novel coronavirus (COVID-19) in collaboration with Tianjin University in China has advanced into cytological experiments in March 2020.
  The research team has been able to obtain the information on the coronavirus nanobody sequence and the complex crystal structure of SARS-CoV-2, the virus causing the infection. The joint scientific teams have already studied the biochemical characterization of the modified nanobody. After evaluating the effect of the antibody modification, the teams are now moving into cytological experiments, which are expected to be completed this month. Shortly thereafter, we will conduct animal experiments followed by clinical trials, which are expected to occur in April 2020.",https://www.nsx.com.au/ftp/news/021737862.PDF,5/18/2020,L.Y
44,34,1,Anti-SARS-CoV-2 mAb,S protein,Preclinical,Harvard University,mAb,,nanobody,USA,,"Andrew Kruse and colleagues are spearheading a project to discover a way to neutralize and disable SARS-CoV-2. For years, the Kruse lab has focused on developing a method to mass-produce antibody fragments called nanobodies. They will use their library of synthetic camelid nanobodies and find ones that might be able to neutralize the virus.
  Kruse and Tim Springer are founders of the Institute for Protein Innovation, an open source hub that designs antibodies and other proteins as cures for intractable diseases.",https://kruse.hms.harvard.edu/research; https://hms.harvard.edu/news/through-storm,05/18/2020,L.Y
45,35,1,Anti-SARS-CoV-2 mAb,S protein,Preclinical,Rockefeller University,mAb,,nanobody,USA,,Parallel approaches are being taken to provide alternative means of prevention and therapy. Projects undertaken by Rockefeller Heads of Laboratory and their teams will address key needs in the field.,https://www.rockefeller.edu/coronavirus/research-program-covid-19-sars-cov-2/,05/18/2020,L.Y
